category,total_revenue
Outerwear & Coats,986384.36
Jeans,939397.5
Sweaters,631295.35
Swim,491143.02
Fashion Hoodies & Sweatshirts,477281.28
Suits & Sport Coats,476285.54
Sleep & Lounge,424378.25
Tops & Tees,385600.1
Shorts,382374.42
Dresses,346710.15
Intimates,339642.59
Active,331076.37
Pants,323933.37
Accessories,310201.65
Blazers & Jackets,210469.42
Maternity,194372.71
Underwear,154846.78
Pants & Capris,132469.43
Plus,120452.5
Socks,95750.87
Suits,94132.19
Skirts,81125.91
Leggings,69006.46
Socks & Hosiery,47328.68
Jumpsuits & Rompers,34515.9
Clothing Sets,11228.22
