product_name,total_revenue
Canada Goose Men's The Chateau Jacket,9780.0
The North Face Apex Bionic Soft Shell Jacket - Men's,9030.0
True Religion Men's Ricky Straight Jean,8426.55
JORDAN DURASHEEN SHORT MENS 404309-109,8127.0
NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,8127.0
Nike Jordan Retro 11 Bred Bootie Socks,7224.0
Canada Goose Women's Solaris,6950.0
The North Face Freedom Mens Ski Pants 2013,6321.0
The North Face Denali Down Mens Jacket 2013,6321.0
Diesel Men's Lagnum Leather Jacket,5980.0
